I_inj,firing_rate,total_energy,isi_entropy,information_rate,energy_per_bit,n_spikes
4.0,0.6666688888962963,449382.50646144815,0.0,0.0,,2
6.0,0.6666688888962963,423617.70840791153,0.0,0.0,,2
8.0,0.33333444444814814,413598.9034519801,0.0,0.0,,1
10.0,0.33333444444814814,414001.8127216168,0.0,0.0,,1
12.0,0.33333444444814814,413608.116057665,0.0,0.0,,1
14.0,0.33333444444814814,406133.2085365926,0.0,0.0,,1
16.0,0.33333444444814814,392331.03693467745,0.0,0.0,,1
